Type,Transaction Number,Date,Issue
VENDOR_PAYMENT,VPAY-0001,2025-12-02,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0045,2025-09-24,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0007,2025-09-22,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0020,2025-12-04,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0009,2025-08-11,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0039,2025-08-05,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0009,2025-10-16,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0024,2026-01-13,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0019,2025-04-15,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0002,2025-12-16,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0011,2025-08-30,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0008,2025-12-03,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0050,2025-12-03,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0013,2025-08-30,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0010,2025-08-14,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0015,2025-06-07,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0002,2025-12-02,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0008,2025-09-27,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0022,2025-04-30,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0004,2025-10-25,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0004,2025-11-07,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0006,2025-11-10,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0005,2025-10-08,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0017,2025-12-17,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0007,2025-12-01,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0003,2025-11-24,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0005,2025-11-10,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0004,2025-04-22,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0006,2025-09-18,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0018,2025-04-04,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0020,2025-04-17,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0003,2025-12-16,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0004,2025-12-02,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0018,2025-12-02,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0017,2025-05-13,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0021,2025-04-21,Posted transaction has no GL entries
VENDOR_PAYMENT,VPAY-0012,2025-11-11,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0025,2026-01-12,Posted transaction has no GL entries
CUSTOMER_PAYMENT,RCPT-0014,2025-07-18,Posted transaction has no GL entries
